TRIALS, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
67,6261.5,17.7127,7385.070205,0.947494,1251.63,0.536955001885185,1.23220462078519,810,1839,10.33,13.97,5982.98,88.8122,3790,68.4622,0,12.78,20.21,1.17,3762M,1.17,3762M,7,2450,7,69,484,48,162,5560,5.1,8,1687,65,8,31,10,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
21,6083.86,42.1932,9131.281044,0.834875,1091.83,0.4607237056,1.07218556923333,931,1244,1.64,11.1,5965.45,85.7889,3690,75.6567,0,1.56,1.54,1.03,2945M,1.03,2945M,10,7830,9,23,396,33,125,6040,2.5,3,3788,23,3,42,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
74,996.139,20.7219,3986.325691,3.02623,401.289,1.63671345517492,3.8690352777037,374,420,15.37,22.57,988.858,521.933,8220,562.313,0,9.54,8.52,3.78,3563M,3.78,3563M,11,1170,3,72,472,16,100,6600,9.8,6,2261,59,10,32,5,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
86,988.621,20.7893,4342.198782,3.22052,456.377,1.74611129213791,4.04855866754074,417,500,21.5,41.31,972.277,529.067,5440,445.15,0,7.56,7.77,4,2890M,4,2890M,7,510,5,85,486,21,92,3300,7,6,2303,62,9,43,8,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
95,963.585,21.8551,4184.828752,3.20822,423.914,1.79532877018605,4.03137604788519,395,461,11.81,18.12,936.768,549.109,4290,519.746,0,7.45,7.07,3.92,2579M,3.92,2579M,8,1560,5,78,486,21,140,4710,8.1,5,2562,25,8,41,7,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
80,987.046,20.2009,5043.33608,3.18731,418.764,1.72634516675616,4.03203613423704,373,453,31.36,54.85,993.821,527.754,4700,450.024,0,14.09,12.42,3.93,3216M,3.93,3216M,5,1950,6,78,479,28,130,5360,6.7,5,2041,49,6,38,6,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,5187.88,49.7366,10884.966372,1.13724,583.108,0.632869519199824,1.40729299074815,363,904,13.58,100.05,5295.16,136.989,3910,115.568,0,38.67,52.8,1.39,3633M,1.39,3633M,18,950,3,31,364,38,34,8280,5.1,5,4108,213,5,48,2,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
36,608.478,22.991,4172.233665,3.08219,294.654,1.70337869266796,3.93874666044815,264,311,3.74,2.89,596.113,854.612,6740,845.619,0,2.38,2.54,3.87,1190M,3.87,1190M,1,9190,1,50,391,40,143,8140,4.9,7,3207,38,16,11,4,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
111,824.223,22.1681,6428.487287,1.7175,421.001,1.03081188704402,2.19671946055867,375,453,45.72,78.23,803.641,655.712,4500,487.233,0,14.32,14.94,2.13,2322M,2.13,2322M,13,1960,3,69,452,16,94,4370,6.7,7,2638,122,10,43,8,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
39,614.073,23.4638,4784.742127,3.06895,318.248,1.70897865263424,3.92498223602963,272,344,6.34,15.22,601.704,849.729,7210,861.549,0,1.96,2.11,3.82,4031M,3.82,4031M,6,7510,6,65,379,45,169,6820,4.5,7,4211,249,20,29,9,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
