TRIALS, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,, THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,, CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
127,10991.8,7.72497,3951.660639,1.49944,565.78,0.850705990283265,1.93758721497407,395,621,4.1,16.81,, 10790.6,64.8678,4600,48.0978,0,2.41,2.33,, 1.8599999999999999,2184M,1.86,2184M,9,5930,1,38,440,26,65,2013,5.94,2,1051,203,17,30,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
32,11090,7.75399,13361.111367,1.57876,1039.17,0.866670637439505,2.02316819611481,946,1205,0.6,10.4,, 10885,64.2189,3000,46.1689,0,1.21,1.18,, 1.9500000000000002,3548M,1.95,3548M,8,3428,2,35,418,37,176,1094,9,1,1583,241,15,9,2,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
132,11239.5,7.80445,3925.31466,1.51096,717.719,0.847529928371526,1.9417873610963,445,879,2.94,34.99,, 11037,63.42,3810,50.6667,0,1.84,1.78,, 1.88,2431M,1.88,2431M,13,5381,2,38,449,28,65,2733,4.4,2,1190,154,14,25,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
141,10907.7,7.88099,3549.547892,1.54148,788.058,0.934837346557383,1.97221757796507,677,874,1.37,12.97,, 10701.5,65.3989,1220,50.2467,0,1.89,1.84,, 1.9,3619M,1.9,3619M,9,4742,1,39,425,20,75,2909,5.43,2,1274,190,13,22,2,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
52,11415,7.8898,3891.359222,1.5823,801.364,0.858682438097273,2.05699729114074,621,931,2.42,25.63,, 11187.1,62.5611,1790,46.1067,0,1.81,1.77,, 1.9500000000000002,2853M,1.95,2853M,8,3366,2,36,413,37,110,1476,9.6,2,793,155,16,24,2,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
112,10827.7,7.90632,3879.654666,1.49929,707.369,0.92345961826787,1.87518443175926,462,832,0.55,34.36,, 10633.1,65.8344,2300,45.6056,0,1.64,1.6,, 1.85,3499M,1.85,3499M,9,6136,2,38,425,23,86,2372,4.3,2,1000,176,14,23,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
125,10450.1,7.90766,3672.680881,1.53326,579.44,0.807533973598608,1.97433840434445,383,783,24.37,28.46,, 10250.4,72.5422,1010,57.3922,0,14.88,26.51,, 1.9,2290M,1.9,2290M,12,4863,2,37,468,22,70,2270,6.07,2,1570,195,15,27,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
108,10623.7,7.95172,3711.561903,1.46774,753.881,0.79033124895966,1.9043189135,449,1012,1.79,10.32,, 10416.3,67.2078,2300,46.1844,0,1.95,1.92,, 1.83,3754M,1.83,3754M,10,4810,2,40,430,24,44,2755,3.79,2,789,184,15,25,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
95,11313.9,7.97736,3720.364488,1.55399,1426.33,0.793193230577849,2.01018999422593,1054,1521,2.62,15.06,, 11095.8,63.09,3290,46.9167,0,2.08,2.04,, 1.9500000000000002,4004M,1.95,4004M,7,1371,2,40,420,35,104,1474,9.49,4,1434,213,12,30,4,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
62,11259.7,7.99427,26255.414407,1.55202,1063.37,0.839969591948498,1.99035274942963,892,1167,2.24,13.96,, 11015.4,63.5067,4210,57.82,0,1.36,1.31,, 1.9500000000000002,3594M,1.95,3594M,8,3554,2,34,417,38,191,1055,8.89,1,4926,242,15,4,2,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
128,11872,7.99782,3734.486444,1.58933,688.476,0.85625743842154,2.03169230414815,396,892,3.32,3.99,, 11653.4,60.0678,1990,44.4244,0,2.18,2.15,, 1.96,2387M,1.96,2387M,11,6413,2,37,455,25,0,2383,4.82,2,1264,160,16,26,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
64,10919.3,8.06273,12628.60909,1.55487,836.295,0.827229071530941,1.99061665403704,576,969,2.39,15.01,, 10715.7,65.3256,4800,50.9833,0,2.03,2,, 1.9100000000000001,3395M,1.91,3395M,7,2278,2,38,392,35,62,1346,8.01,2,1745,220,14,42,1,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
76,10760,8.0643,17949.758506,1.49782,1069.38,0.868413592966524,1.90975600771852,834,1230,2.17,12.93,, 10556,66.3044,4800,53.3122,0,2.04,1.99,, 1.87,3392M,1.87,3392M,9,2393,2,40,447,46,166,2377,9.67,2,4666,250,15,7,3,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
135,10951.8,8.09797,4001.14823,1.4988,718.971,0.87689294561824,1.87982357267037,365,882,2.37,11.82,, 10710.1,65.3478,3790,48.1578,0,1.82,1.77,, 1.8599999999999999,2153M,1.86,2153M,11,6276,2,35,452,23,83,1649,5.7,2,1338,176,13,24,2,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
