Trial,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,StackTraceInThrowable,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
83,ParallelGC,355,48,20,1560,5.4,4,3205,240,5,31,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,748.15,5.33333,915.27,1.63723,1.28035034634815,2.27106034004444,900,931,0,3.76058,3.9,4297.0M,3.9,4297.0M,0
81,ParallelGC,356,48,12,2680,4.9,4,3220,203,4,33,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,748,5.5,834.833,1.49592,1.17758029567778,2.0313527447963,812,854,0,3.73206,3.8,3736.0M,3.8,3736.0M,0
97,ParallelGC,331,31,91,2900,7.3,4,3005,246,18,39,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,747.733,5.16667,758.363,1.60841,1.32494365781482,2.20640983742212,744,777,0,3.67675,4,2949.0M,4,2949.0M,0
36,ParallelGC,386,34,139,3860,4,5,3185,181,20,8,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,747.533,5.5,874.898,1.62369,1.20684433590741,2.18032327374815,845,891,0,3.66381,3.9,2759.0M,3.9,2759.0M,0
31,ParallelGC,422,50,2,3430,5.1,3,2225,192,3,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,746.933,6,956.284,1.63546,1.40772424438148,2.06051161486296,941,972,0,3.58557,4,4231.0M,4,4231.0M,0
95,ParallelGC,341,30,112,2970,7.4,4,3025,230,18,43,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,746.783,4.66667,779.601,1.59732,1.27428812557778,2.17076312218518,738,833,0,3.66553,3.9,3172.0M,3.9,3172.0M,0
15,ParallelGC,428,50,3,3480,5.1,3,2205,175,5,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,746.45,6,977.592,1.68592,1.37949346709259,2.1763749376037,957,998,0,3.71799,4,4288.0M,4,4288.0M,0
96,ParallelGC,339,27,115,1680,7.4,4,3655,235,17,43,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,746.433,5.5,772.597,1.62271,1.26852103713704,2.20312711413704,760,786,0,3.8441,3.7,3118.0M,3.7,3118.0M,0
72,ParallelGC,431,50,13,3800,3.9,3,1890,179,0,5,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,746.283,6.16667,960.031,1.66175,1.33015342124444,2.11913583628148,954,970,0,3.78879,4,3729.0M,4,3729.0M,0
71,ParallelGC,435,50,5,3640,4,3,2160,177,1,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,745.833,6.33333,929.472,1.63936,1.39683041338519,2.02740127478518,909,951,0,3.69672,4,3892.0M,4,3892.0M,0
14,ParallelGC,428,50,3,3920,5,3,3180,129,20,7,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,744.733,5.33333,895.778,1.63122,1.36573985065926,2.05629520567778,849,935,0,4.16776,3.9,4181.0M,3.9,4181.0M,0
61,ParallelGC,433,50,4,3620,5.1,3,2125,178,3,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,743.917,6.33333,912.567,1.69889,1.41333964963333,2.15069283056667,892,935,0,3.8237,4,3905.0M,4,3905.0M,0
94,ParallelGC,347,29,118,3130,8,4,3365,249,16,42,2,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,742.833,5.5,665.908,1.69784,1.25033509721111,2.32140094276296,653,675,0,3.65832,3.9,3267.0M,3.9,3267.0M,0
42,ParallelGC,396,46,94,2570,4.6,3,3100,143,17,5,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,742.617,6.33333,1036.33,1.70223,1.43664408548889,2.26522239436667,1015,1062,0,3.65813,3.9,4006.0M,3.9,4006.0M,0
26,ParallelGC,418,47,15,2950,2.3,4,1715,250,16,6,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,742.567,8,769.447,1.59919,1.33078329075185,2.05222406275228,737,800,0,3.80108,4,2907.0M,4,2907.0M,0
22,ParallelGC,362,47,21,2740,3.4,3,3220,190,9,7,2,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,741.633,8.16667,703.14,1.62191,1.31464379828889,1.99230029598889,668,727,0,3.79937,4,3790.0M,4,3790.0M,0
82,ParallelGC,363,46,8,1880,4.7,5,3260,203,6,36,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,740.467,8,853.895,1.72406,1.33131261873704,2.30714638456667,839,869,0,3.66349,3.8,3818.0M,3.8,3818.0M,0
65,ParallelGC,475,46,5,4710,5.6,2,1655,130,1,3,2,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,739.7,7,845.251,1.69179,1.28929625997037,2.2100893125037,827,861,0,3.55865,3.8,5146.0M,3.8,5146.0M,0
62,ParallelGC,427,47,0,3250,4.9,3,2225,170,5,4,2,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,738.233,8.33333,810.723,1.70421,1.3934335754037,1.98439085492593,781,836,0,3.68944,4,4244.0M,4,4244.0M,0
41,ParallelGC,357,48,11,3690,7,4,2800,196,19,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,737.233,7.16667,1098.47,1.74162,1.2999484864,2.21675789026296,1072,1130,0,3.75197,3.9,4592.0M,3.9,4592.0M,0
43,ParallelGC,422,39,20,3290,3.6,5,4100,184,20,7,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,735.783,10.8333,1189.5,1.60645,1.34086544625185,2.1624042396,1134,1230,0,3.73519,3.7,5014.0M,3.7,5014.0M,0
74,ParallelGC,450,49,0,3360,2.2,3,1795,186,8,5,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,733.683,11.5,928.814,1.68682,1.31220992277037,2.02752761507407,894,966,0,3.81161,3.9,3696.0M,3.9,3696.0M,0
57,ParallelGC,458,43,45,4010,3.9,3,2685,213,20,7,2,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,732,12.1667,758.586,1.66355,1.36602739833704,2.07361870162593,720,781,0,3.73416,3.9,4517.0M,3.9,4517.0M,0
52,ParallelGC,408,49,0,3290,6.2,3,2050,188,5,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,730.767,11.1667,1015.58,1.72957,1.40327907461111,2.1618288741037,967,1064,0,3.78595,4,4574.0M,4,4574.0M,0
27,ParallelGC,416,28,72,5250,7.8,5,3100,140,14,12,3,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,711.833,20.6667,647.235,1.85429,1.48478865044444,2.33332068701852,634,678,0,3.89646,3.8,4754.0M,3.8,4754.0M,0
87,ParallelGC,373,35,101,2610,6.9,5,3435,222,5,32,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,711.283,22.1667,765.082,1.65816,1.30257554857407,2.15626256542963,737,793,0,3.80042,3.6,2804.0M,3.6,2804.0M,0
32,ParallelGC,403,47,11,4220,4,3,1850,194,0,6,2,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,710.45,21.5,765.053,1.86015,1.53918080304141,2.21572599024317,704,801,0,3.63978,4,3386.0M,4,3386.0M,0
55,ParallelGC,410,49,8,2840,8.2,3,2385,170,0,9,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,710.4,21.3333,927.437,1.72898,1.44531885388519,2.14597910058519,893,961,0,3.64751,3.8,3668.0M,3.8,3668.0M,0
13,ParallelGC,431,14,39,3940,4.8,2,2610,107,6,6,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,704.533,23.6667,755.015,1.70806,1.28253847494444,2.16850253978148,733,792,0,3.92781,3.8,2542.0M,3.8,2542.0M,0
23,ParallelGC,367,48,4,1400,5.7,4,3960,164,13,3,1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,697.417,27,969.304,1.67705,1.43581171055556,1.98308861268519,933,998,0,3.67456,3.7,4897.0M,3.7,4897.0M,0
33,ParallelGC,446,44,26,1860,6.5,4,2525,165,3,5,1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,696.65,28.6667,919.458,1.74034,1.43901770205556,2.1018654994963,878,952,0,3.72171,3.8,4715.0M,3.8,4715.0M,0
