Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
63,1.4,823.0M,SerialGC,371,24,139,9730,13.4,6,1360,211,16,7,1,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,236.967,3439.5,582.561,0.885942,0.781986912259259,1.01078213265697,557,606,0,3.46746,1.4,823.0M,1.4,823.0M,0
98,2.7,2930.0M,SerialGC,491,25,154,7920,4.4,3,1535,51,17,7,4,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,235.283,3463.17,487.049,1.69781,1.54322620381481,1.91166359382593,482,492,0,3.70844,2.7,2930.0M,2.7,2930.0M,0
0,3.9,4289.0M,SerialGC,325,18,170,6200,14.1,2,2215,39,20,29,1,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1,232.717,1340.5,1064.13,1.57714,0,2.60728910951852,0,1487,0,3.48729,3.9,4289.0M,3.9,4289.0M,0
1,3.9,4289.0M,SerialGC,325,18,170,6200,14.1,2,2215,39,20,29,1,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1,232.717,1340.5,1064.13,1.57714,0,2.60728910951852,0,1487,0,3.48729,3.9,4289.0M,3.9,4289.0M,0
96,2.6,806.0M,SerialGC,497,29,182,8840,3.9,3,1630,38,20,9,4,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,229.533,3553.5,482.355,1.64469,1.4444414618037,1.83612256442222,478,484,0,3.73242,2.6,806.0M,2.6,806.0M,0
94,2.7,513.0M,SerialGC,496,26,188,9140,1.9,3,1715,48,19,14,4,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,223.45,3652.33,430.588,1.70252,1.49174463212593,1.90514779290213,428,433,0,3.70989,2.7,513.0M,2.7,513.0M,0
49,1.6,971.0M,SerialGC,481,22,175,7770,14,6,1005,37,20,6,7,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,220.717,3703.17,525.412,1.01561,0.890318188240741,1.14910744132593,513,535,0,3.549,1.6,971.0M,1.6,971.0M,0
67,1.3,1026.0M,ParallelGC,395,32,114,7560,12.7,6,2245,63,15,19,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,208,3930.33,554.366,0.834409,0.731611938992592,0.936026998488889,492,619,0,3.37534,1.3,1026.0M,1.3,1026.0M,0
6,1.3,5566.0M,ParallelGC,363,33,157,2520,13.3,5,1895,192,0,48,5,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,205.8,3976.83,682.671,0.833847,0.718020908562963,0.936217452914815,602,762,0,3.31345,1.3,5566.0M,1.3,5566.0M,0
64,1.1,598.0M,SerialGC,431,28,126,7350,15,7,1150,173,19,15,2,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,168.133,4944.67,493.247,0.712837,0.608751223811111,0.834037376899824,481,506,0,3.59637,1.1,598.0M,1.1,598.0M,0
