"Exp_names","Iteration","Metric-name","avg","min","max","50th Percentile","75th percentile","90th percentile","95th percentile","96th percentile","97th percentile","98th percentile","99th percentile","99.99th percentile","99.999th percentile","Value-1","Value-2","Value-3","Value-4","Value-5","Value-6","Value-7","Value-8","Value-9","Value-10","Value-11","Value-12","Value-13","Value-14","Value-15","Value-16","Value-17","Value-18","Value-19","Value-20","Value-21","Value-22","Value-23","Value-24","Value-25","timestamp-1","timestamp-2","timestamp-3","timestamp-4","timestamp-5","timestamp-6","timestamp-7","timestamp-8","timestamp-9","timestamp-10","timestamp-11","timestamp-12","timestamp-13","timestamp-14","timestamp-15","timestamp-16","timestamp-17","timestamp-18","timestamp-19","timestamp-20","timestamp-21","timestamp-22","timestamp-23","timestamp-24","timestamp-25"
"page-rank","ITR-1","fswritetotal-measure",1.50833333333333E-07,1.15666666666667E-08,2.901E-07,2.16666666666667E-08,2.66666666666664E-08,3.54333333333333E-08,2.39166666666667E-07,2.901E-07,2.901E-07,2.901E-07,2.901E-07,2.901E-07,2.901E-07,1.16E-08,2.67E-08,2.67E-08,1.13E-08,1.13E-08,1.13E-08,2.59E-08,2.59E-08,1.46E-08,1.46E-08,1.46E-08,3.54E-08,3.54E-08,1.83E-08,1.83E-08,1.83E-08,3.29E-08,3.29E-08,2.17E-08,2.17E-08,2.17E-08,2.25E-08,2.25E-08,2.90E-07,2.90E-07,1661241422.476,1661241437.636,1661241452.752,1661241467.869,1661241482.976,1661241483.504,1661241498.665,1661241513.748,1661241528.801,1661241543.876,1661241544.551,1661241559.674,1661241574.7,1661241589.781,1661241604.835,1661241605.689,1661241620.812,1661241635.965,1661241651.068,1661241666.118,1661241666.727,1661241681.778,1661241696.98,1661241711.998,1661241727.037
"page-rank","ITR-1","netreceivebytes-measure",1083.01666666667,851.6,1314.43333333333,1431.46666666667,2591.7,3191.3,3281.7,3304.3,3304.3,3304.3,3304.3,3304.3,3304.3,851.6,851.6,3046.36666666667,3046.36666666667,758.566666666667,758.566666666667,758.566666666667,3191.3,3191.3,614.1,614.1,614.1,3304.3,3304.3,593.6,593.6,593.6,2591.7,2591.7,1431.46666666667,1431.46666666667,1431.46666666667,2373.73333333333,2373.73333333333,1314.43333333333,1661240715.762,1661240730.898,1661240746.026,1661240761.082,1661240776.143,1661240776.993,1661240792.166,1661240807.298,1661240822.431,1661240837.534,1661240838.001,1661240853.159,1661240868.289,1661240883.43,1661240898.547,1661240899.087,1661240914.236,1661240929.347,1661240944.485,1661240959.587,1661240960.155,1661240975.403,1661240990.441,1661241005.629,1661241020.65
"page-rank","ITR-1","nettransmitbytes-measure",1411.26666666667,1056.23333333333,1766.3,1954.06666666667,3454.93333333333,3902.33333333333,3956.25333333333,3969.73333333333,3969.73333333333,3969.73333333333,3969.73333333333,3969.73333333333,3969.73333333333,1056.23333333333,1056.23333333333,3802.33333333333,3802.33333333333,973.5,973.5,973.5,3902.33333333333,3902.33333333333,907.366666666667,907.366666666667,907.366666666667,3969.73333333333,3969.73333333333,960.366666666667,960.366666666667,960.366666666667,3454.93333333333,3454.93333333333,1954.06666666667,1954.06666666667,1954.06666666667,2878.03333333333,2878.03333333333,1766.3,1661240715.853,1661240730.905,1661240746.145,1661240761.232,1661240776.27,1661240777.001,1661240792.163,1661240807.3,1661240822.454,1661240837.582,1661240837.995,1661240853.145,1661240868.193,1661240883.268,1661240898.33,1661240899.058,1661240914.084,1661240929.203,1661240944.253,1661240959.301,1661240960.171,1661240975.374,1661240990.396,1661241005.613,1661241020.644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"page-rank","ITR-2","cpu-measure",1.65676936948148,1.64386417767407,1.66967456128889,1.65775161708889,1.67884904885926,1.70326064786518,1.70596429939259,1.70596429939259,1.70596429939259,1.70596429939259,1.70596429939259,1.70596429939259,1.70596429939259,1.66967456128889,1.66967456128889,1.64309426511111,1.64309426511111,1.70596429939259,1.70596429939259,1.70596429939259,1.65347066253704,1.65347066253704,1.6031134129037,1.6031134129037,1.6031134129037,1.6740609012963,1.6740609012963,1.67884904885926,1.67884904885926,1.67884904885926,1.69920517057407,1.69920517057407,1.60378705904444,1.60378705904444,1.65775161708889,1.65775161708889,1.64386417767407,1.64386417767407,1661242128.744,1661242143.774,1661242159.057,1661242174.218,1661242189.35,1661242189.836,1661242205.011,1661242220.145,1661242235.33,1661242250.456,1661242250.917,1661242266.093,1661242281.272,1661242296.358,1661242311.529,1661242311.926,1661242326.948,1661242342.009,1661242357.054,1661242372.101,1661242373.035,1661242388.172,1661242403.256,1661242418.399,1661242433.448
"page-rank","ITR-2","mem-measure",720287744,270573568,1170001920,271712256,271925248,421634048,1020328345.6,1170001920,1170001920,1170001920,1170001920,1170001920,1170001920,270573568,270573568,270848000,270848000,271093760,271093760,271093760,271446016,271446016,271638528,271638528,271638528,271712256,271712256,271810560,271810560,271810560,271872000,271925248,271925248,271925248,421634048,421634048,1170001920,1170001920,1661242128.749,1661242143.907,1661242159.071,1661242174.219,1661242189.352,1661242189.814,1661242204.904,1661242219.937,1661242235.004,1661242250.051,1661242250.907,1661242266.071,1661242281.1,1661242296.255,1661242311.341,1661242311.95,1661242327.156,1661242342.235,1661242357.386,1661242372.435,1661242372.992,1661242388.023,1661242403.114,1661242418.154,1661242433.196
"page-rank","ITR-2","memusage-measure",739921920,274649088,1205194752,275787776,276000768,438808576,1051917516.8,1205194752,1205194752,1205194752,1205194752,1205194752,1205194752,274649088,274649088,274923520,274923520,275169280,275169280,275169280,275521536,275521536,275714048,275714048,275714048,275787776,275787776,275890176,275890176,275890176,275947520,276000768,276000768,276000768,438808576,438808576,1205194752,1205194752,1661242128.741,1661242143.924,1661242159.081,1661242174.222,1661242189.352,1661242189.833,1661242204.985,1661242220.131,1661242235.311,1661242250.345,1661242250.914,1661242266.101,1661242281.27,1661242296.349,1661242311.52,1661242311.99,1661242327.147,1661242342.244,1661242357.373,1661242372.419,1661242373.014,1661242388.16,1661242403.212,1661242418.406,1661242433.461
"page-rank","ITR-2","cnetreceivebytes-measure",11.7666666666667,11.7666666666667,11.7666666666667,20.0333333333333,28.7666666666667,29.9866666666667,40.0266666666667,41.7666666666667,41.7666666666667,41.7666666666667,41.7666666666667,41.7666666666667,41.7666666666667,11.7666666666667,11.7666666666667,41.7666666666667,41.7666666666667,9.53333333333333,9.53333333333333,9.53333333333333,29.5666666666667,29.5666666666667,20.0333333333333,20.0333333333333,20.0333333333333,26.3,26.3,19.4,19.4,19.4,30.1666666666667,20.0333333333333,20.0333333333333,28.7666666666667,28.7666666666667,19.9666666666667,19.9666666666667,,1661242128.769,1661242143.916,1661242159.062,1661242174.209,1661242189.352,1661242189.83,1661242204.987,1661242220.137,1661242235.339,1661242250.446,1661242250.907,1661242266.093,1661242281.269,1661242296.4,1661242311.522,1661242311.987,1661242327.097,1661242342.114,1661242372.25,1661242373.032,1661242388.162,1661242403.208,1661242418.401,1661242433.454,
"page-rank","ITR-2","cnettransmitbytes-measure",6.7,6.7,6.7,9.81666666666666,13.9666666666667,15.1,20.625,21.6,21.6,21.6,21.6,21.6,21.6,6.7,6.7,21.6,21.6,3.5,3.5,3.5,13.9666666666667,13.9666666666667,9.63333333333333,9.63333333333333,9.63333333333333,12.4,12.4,7.23333333333333,7.23333333333333,14.7,10,10,10,15.1,15.1,8.16666666666667,8.16666666666667,,1661242128.759,1661242143.916,1661242159.071,1661242174.209,1661242189.352,1661242189.823,1661242204.981,1661242220.126,1661242235.305,1661242250.344,1661242250.904,1661242266.102,1661242281.269,1661242296.372,1661242311.403,1661242311.906,1661242342.239,1661242357.364,1661242372.476,1661242373.025,1661242388.167,1661242403.264,1661242418.404,1661242433.463,
"page-rank","ITR-2","diskdetails-measure",570384657.066665,9550233.6,1131219080.53333,279620.266666667,1131214438.4,1131221701.97333,1131496625.49334,1131564919.46667,1131564919.46667,1131564919.46667,1131564919.46667,1131564919.46667,1131564919.46667,1131219080.53333,1131219080.53333,1131564919.46667,1131564919.46667,28672,28672,28672,1131214438.4,1131214438.4,279620.266666667,279620.266666667,279620.266666667,10103.4666666667,10103.4666666667,273.066666666667,273.066666666667,273.066666666667,1131223449.6,36454.4,36454.4,36454.4,17309286.4,17309286.4,9550233.6,9550233.6,1661242128.776,1661242143.928,1661242159.09,1661242174.236,1661242189.354,1661242189.838,1661242204.981,1661242220.137,1661242235.364,1661242250.448,1661242250.901,1661242266.098,1661242281.271,1661242296.344,1661242311.529,1661242311.916,1661242327.1,1661242342.256,1661242357.375,1661242372.454,1661242373.023,1661242388.17,1661242403.264,1661242418.401,1661242433.429
