TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
154,21495.3,3.62761,3509.211125,3.97186,1387.62,3.54793909328027,4.2251087808963,1160,1728,4.17,33.09,21036.5,24.3267,3390,31.4067,0,1.65,1.64,4,4096M,4,4096M,3,1130,8,54,424,34,28,8490,10.6,5,4299,171,3,35,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
174,20951.2,3.77957,3286.529763,3.97039,1599.51,3.54462461435031,4.23115370641852,1265,1864,3.66,29.09,20550.9,24.9,3310,31.9678,0,1.78,1.76,4,4096M,4,4096M,2,1710,9,46,452,19,49,6560,9.5,5,4108,151,3,31,6,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
70,21054.7,3.43739,3647.800677,3.96712,946.918,3.64678126978358,4.15979735856667,726,1131,4.53,27.13,20611.4,24.8,3490,32.4833,0,1.87,1.83,4,4096M,4,4096M,6,6500,7,75,383,13,194,8760,7.7,6,1578,109,14,34,10,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
168,21211.8,3.1772,3981.835108,3.97293,871.905,3.51486704915204,4.21606467313333,797,1056,2.96,8.45,20780.7,24.6022,3420,32.4933,0,1.52,1.44,4,4096M,4,4096M,1,6150,9,87,402,34,42,6410,11.1,4,4508,188,5,40,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
199,20762.6,3.61769,3500.752353,3.99385,958.921,3.50331792907054,4.19729307756667,871,1154,1.22,27.7,20364.2,25.1333,3310,32.6444,295.556,1.91,1.87,4,4096M,4,4096M,1,330,10,56,425,15,63,8330,10,5,1908,182,5,35,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
164,21565.7,3.81441,3452.079767,3.95806,1143.24,3.6436122029188,4.14674086247037,1000,1276,2.39,13.43,21143.4,24.1522,3520,32.8978,78.8889,1.7,1.66,4,4096M,4,4096M,3,490,11,42,418,30,49,7060,10.7,1,4588,147,4,38,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
172,20725.6,3.83338,3323.977201,3.99875,2054.22,3.52930795181995,4.20727841504074,2040,2066,1.2,9.99,20299.4,25.1944,3490,34.8422,0,1.21,1.17,4,4096M,4,4096M,4,1680,9,44,442,17,157,6050,9.2,5,4062,143,4,32,10,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
63,20174.1,4.30243,2888.414484,3.99014,891.062,3.48288314819864,4.2899821617,819,1126,2.89,26.45,19767.8,25.8544,3590,34.6489,0,1.66,1.62,4,4096M,4,4096M,2,8250,7,45,447,18,120,8630,4,5,1055,58,16,37,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
73,20300.2,3.7203,3433.776267,3.99437,1928.16,3.77928958454425,4.1188315167963,1770,2037,3.2,11.8,19878.8,25.7211,3370,33.3656,0,1.4,1.37,4,4096M,4,4096M,7,8930,9,72,479,23,151,9170,7,5,783,166,17,37,9,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
166,21109.1,4.06401,3283.890776,3.97428,1557,3.72106512674539,4.20419338111852,1304,2019,1.65,14.52,20675.4,24.7522,297.8,31.3733,0,1.93,1.89,4,4096M,4,4096M,3,1000,8,45,423,25,38,7830,9.6,5,4184,156,2,37,6,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
175,20858.7,4.32135,3087.777225,3.98408,1845.57,3.5428584871079,4.19281042359259,1574,2341,2.97,27.4,20449.9,25.02,1070,31.7567,0,1.82,1.8,4,4096M,4,4096M,4,1110,9,44,420,29,66,6750,10.4,5,3786,159,4,41,10,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
143,20633.7,3.78897,3498.212276,3.96734,943.978,3.64603071650885,4.14355586406296,851,1235,2.37,7.43,20247.7,25.2722,3410,33.4067,0,2.04,1.98,4,4096M,4,4096M,3,1320,9,52,486,32,23,5950,8.1,4,4104,164,5,30,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
