Trial,memoryRequest,cpuRequest,gc,virtualized,shareclasses,aggressive,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
96,3393,3.6,optthruput,FALSE,FALSE,FALSE,1,140.433,1397.44,597.572,2.04179,1.71641337807778,2.35396112509368,516,695,3.6,3393.0M,3.6,3393.0M,0
67,3138,3.9,optthruput,FALSE,TRUE,TRUE,1,138.456,1413.67,597.6,2.1786,1.8575628558,2.52243441837407,513,690,3.9,3138.0M,3.9,3138.0M,0
23,2041,3.8,balanced,FALSE,TRUE,FALSE,1,137.356,1407.78,544.816,2.14246,1.83072144487037,2.45001829676561,488,589,3.8,2041.0M,3.8,2041.0M,0
93,3685,3.8,optthruput,FALSE,TRUE,FALSE,1,136.078,1390.44,586.475,2.14503,1.89153213484074,2.45895895723659,509,674,3.8,3685.0M,3.8,3685.0M,0
74,2363,3.6,optthruput,FALSE,TRUE,FALSE,1,135.333,1437.56,575.237,2.03497,1.76225622496667,2.32406215306667,508,638,3.6,2363.0M,3.6,2363.0M,0
46,3325,4,balanced,TRUE,TRUE,FALSE,1,135.211,1399.11,579.161,2.20738,1.83070499283704,2.54358642932963,487,656,4,3325.0M,4,3325.0M,0
73,3556,3.9,optthruput,FALSE,TRUE,FALSE,1,134.422,1404.89,589.747,2.19486,1.85660076256667,2.50167221793704,513,705,3.9,3556.0M,3.9,3556.0M,0
82,3603,3.7,gencon,FALSE,TRUE,TRUE,1,133.2,1452.33,567.006,2.07182,1.77989898192963,2.44598176125874,507,632,3.7,3603.0M,3.7,3603.0M,0
49,3473,3.9,gencon,FALSE,TRUE,TRUE,1,132.544,1467.33,582.058,2.20202,1.90818192840741,2.5315053515,507,643,3.9,3473.0M,3.9,3473.0M,0
72,3395,3.7,optthruput,FALSE,TRUE,FALSE,1,131.567,1452.89,583.663,2.06939,1.75482630201482,2.42650282065185,530,663,3.7,3395.0M,3.7,3395.0M,0
48,2977,3.1,optavgpause,FALSE,FALSE,FALSE,1,130.911,1460.67,550.872,1.76622,1.47325050811482,2.05711796548147,460,687,3.1,2977.0M,3.1,2977.0M,0
50,3907,3.6,balanced,TRUE,TRUE,FALSE,1,130.233,1475.56,569.451,2.03947,1.66247094308148,2.40928777015267,537,636,3.6,3907.0M,3.6,3907.0M,0
39,1089,3.3,optavgpause,TRUE,FALSE,FALSE,1,129.467,1516.89,385.332,1.87696,1.58987002311111,2.17285354254028,379,397,3.3,1089.0M,3.3,1089.0M,0
20,2916,3.5,metronome,FALSE,TRUE,FALSE,1,128.867,1488.56,589.091,2.00871,1.69908058649259,2.31697920444768,544,650,3.5,2916.0M,3.5,2916.0M,0
38,3513,2.9,optavgpause,FALSE,TRUE,TRUE,1,127.778,1510.22,499.981,1.66788,1.44292611474074,1.94757708285053,469,570,2.9,3513.0M,2.9,3513.0M,5.44444
43,3249,3.6,optavgpause,FALSE,TRUE,FALSE,1,127.656,1522.22,590.448,2.02304,1.74595086629037,2.36651354038724,505,679,3.6,3249.0M,3.6,3249.0M,6.11111
58,3938,3.4,optthruput,FALSE,TRUE,FALSE,1,127.511,1508.22,478.456,1.94274,1.6496710438037,2.23321088230741,451,534,3.4,3938.0M,3.4,3938.0M,0
70,3302,3.5,optthruput,FALSE,TRUE,FALSE,1,126.111,1552.11,593.177,1.99171,1.69334704917037,2.34154040561634,511,670,3.5,3302.0M,3.5,3302.0M,5.22222
69,3548,3.8,optthruput,TRUE,TRUE,FALSE,1,125.656,1544.22,573.078,2.14529,1.83134995668148,2.45975470979167,500,637,3.8,3548.0M,3.8,3548.0M,0
