TRIALS,THROUGHPUT,RESPONSE_TIME,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_98p,RESPONSE_TIME_99p,RESPONSE_TIME_999p,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,thrpt_prom_ci,rsp_prom_ci,THROUGHPUT_wrk,RESPONSETIME_wrk,RESPONSETIME_MAX_wrk,STDEV_RESPTIME_MAX_wrk,WEB_ERRORS,thrp_wrk_ci,rsp_wrk_ci,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,maxinlinelevel,quarkustpcorethreads,quarkustpqueuesize,quarkusdatasourcejdbcminsize,quarkusdatasourcejdbcmaxsize
83,81.5,12,110,8.5,1609,5.50042,30.5147,50.0198,71.532,413.663,296.865,0.176951,0.0926464585372,0.262732103861461,172,359,85.75,105.88,299.835,60.4717,2280,66.19,4205,0.7,14.25,1,498.0M,1,498.0M,15,6,177,5,32
84,128.5,7.5,125,7.5,5335,6.00013,42.0081,71.0405,95.5182,169.574,335.026,0.170715,0.147341635950179,0.265602359939703,320,347,84.05,84.71,298.025,54.09,1870,58.77,1553.33,1.87,7.45,1.15,537.0M,1.15,537.0M,11,4,209,6,26
85,131.5,7,141,6.5,5404,4.50099,29.0074,40.5171,51.5108,90.5375,354.541,0.176911,0.160054681938894,0.26936036640704,333,364,33.82,0,300.94,53.105,1850,50.47,3480,0.96,4.74,1.1,637.0M,1.1,637.0M,17,7,410,4,30
86,104,10,102,11,2149,4.00026,34.5124,226.082,316.538,482.017,331.287,0.189807,0.164380060737037,.2927754228888889  317,346,390.95,381.18,,299.335,53.5467,1320,99.6,4058.33,0.63,11.6,1.29,583.0M,1.29,583.0M,13,5,120,5,33
87,154.5,6,153,6,3574,2.99981,25.0015,33.513,41.5165,75.0382,324.094,0.179166,0.150034151506509,0.275309839840741,306,335,37.01,0,299.943,53.5217,1820,53.41,4208.33,0.75,4.32,1.22,696.0M,1.22,696.0M,10,3,394,9,34
88,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,434.0M,1.07,434.0M,21,9,73,6,32
89,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,666.0M,1.59,666.0M,19,6,36,4,31
90,66.5,16.5,63,17.5,3074,7.50131,55.5412,298.582,353.73,679.739,333.602,0.159926,0.137853131176926,0.264036930911111,324,348,429.9,423.53,299.29,70.7867,1820,108.53,680,0.35,16.55,1,613.0M,1,613.0M,24,7,522,5,27
91,90,13,80.5,15,4978,5.0007,43.0075,277.069,622.591,996.147,353.637,0.198368,0.163278944454731,.3236022901020351  335,371,564.71,586.43,,293.745,63.1417,2420,170.94,2263.33,3.57,16.13,1.17,566.0M,1.17,566.0M,12,5,145,7,37
92,84.5,13,80.5,13.5,3388,5.0007,38.0104,108.019,204.537,367.263,363.909,0.19006,0.16323456782963,0.29556823082963,352,377,458.62,488.69,299.105,59.1517,1830,128.19,1558.33,0.85,10.43,1.32,628.0M,1.32,628.0M,15,5,257,7,31
93,92,11,85.5,12,3780,6.00013,39.0262,274.546,487.636,829.03,334.982,0.181467,0.163058456574074,0.275481370841697,328,364,317.65,346.53,296.747,62.8933,3020,182.54,2551.67,2.29,23,1.22,516.0M,1.22,516.0M,9,4,306,7,30
94,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,300.352,54.0433,1020,55.27,3201.67,0.73,10.6,1.13,602.0M,1.13,602.0M,14,6,365,6,29
95,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,544.0M,1.44,544.0M,13,4,100,8,33
96,57.5,17,67,15.5,2111,5.0007,76.5292,248.053,615.12,1213.2,342.973,0.189659,0.158848535874074,0.3159631463,313,359,77.34,74.74,299.993,64.3833,1900,139.55,0,0.81,16.72,1.06,731.0M,1.06,731.0M,17,6,466,9,28
97,112.5,9,113,9,4499,4.50099,31.5141,181.026,282.591,713.211,342.688,0.188699,0.160090230135596,0.270285170748148,335,370,288,282.36,299.105,55.7817,1050,90.93,0,0.67,12.03,1.24,621.0M,1.24,621.0M,16,8,336,8,32
98,99.5,11.5,91.5,13,3239,4.00128,46.5219,284.065,541.048,1028.03,370.403,0.201116,0.174621516596296,.3216715797832544  343,396,504.41,497.19,,300.562,59.83,2400,165.87,0,0.7,21.88,2.07,650.0M,2.07,650.0M,27,7,437,7,35
99,102,11,97,12,2550,4.00128,40.5007,175.554,342.589,453.05,358.545,0.192201,0.162903415066667,0.295797704037037,322,393,498.27,462.04,301.757,48.9133,1700,99.01,0,0.46,28.25,1.37,767.0M,1.37,767.0M,11,5,512,5,31
100,115.5,10,111.5,11,3399,4.50099,28.5076,151.076,316.686,506.626,353.849,0.203918,0.16258923787037,0.319295467651612,332,373,555.54,635.3,298.88,74.44,8930,895.43,0,0.74,80.41,1.17,684.0M,1.17,684.0M,13,6,171,3,34

