Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
41,329.367,749.5,411.487,0.632692,0.435983380655023,0.93313857170512,386,453,0,144,5.14,7.9,5.29,20.32
42,326.067,752,0,0,0,0,0,0,0,136,4.68,8.02,0,0
43,324.4,752.333,0,0,0,0,0,0,0,148,1.49,0.83,0,0
44,321.817,754,0,0,0,0,0,0,0,104,5.59,1.95,0,0
45,319.55,759.833,0,0,0,0,0,0,0,87,2.34,2.32,0,0
46,323.85,763.833,0,0,0,0,0,0,0,94,2.07,1.56,0,0
47,322.3,764,0,0,0,0,0,0,0,76,1.27,1.7,0,0
48,321.033,764.5,0,0,0,0,0,0,0,115,1.75,2.2,0,0
49,322.2,766.167,0,0,0,0,0,0,0,122,2.03,2.51,0,0
50,321.333,766.5,0,0,0,0,0,0,0,60,1.67,1.91,0,0
51,319.233,772.833,0,0,0,0,0,0,0,111,3.56,2.28,0,0
52,319.917,775.833,0,0,0,0,0,0,0,73,1.68,2.24,0,0
53,315.65,776.333,0,0,0,0,0,0,0,91,2.71,2.74,0,0
54,318.667,778,0,0,0,0,0,0,0,45,1.7,2.4,0,0
55,315.583,778.5,0,0,0,0,0,0,0,109,1.63,1.6,0,0
56,320.733,780.167,406.19,0.620331,0.495594589739104,0.843317435037075,399,420,0,139,9.01,14.32,1.51,10.16
57,316.383,781.167,0,0,0,0,0,0,0,146,2.37,2.23,0,0
58,317.817,781.5,0,0,0,0,0,0,0,118,2.98,3.82,0,0
59,314.067,782,0,0,0,0,0,0,0,24,1.77,3.32,0,0
60,315.833,784.667,0,0,0,0,0,0,0,59,1.07,0.61,0,0
61,312.333,787.833,0,0,0,0,0,0,0,100,4.34,5.94,0,0
62,312.417,788.5,0,0,0,0,0,0,0,60,1.33,0.84,0,0
63,312.117,791,0,0,0,0,0,0,0,111,2.79,5.07,0,0
64,313.133,791.167,0,0,0,0,0,0,0,71,2.18,2.32,0,0
65,314.067,791.5,440.296,0.63098,0.464674617718921,0.916158265232695,390,475,0,132,10.55,12.72,9.19,14.48
66,310.833,792,0,0,0,0,0,0,0,48,2.75,1.82,0,0
67,314.75,794,0,0,0,0,0,0,0,67,1.22,1.26,0,0
68,310.667,795.5,0,0,0,0,0,0,0,149,1.22,2.42,0,0
69,313.983,797,0,0,0,0,0,0,0,30,5.91,7.87,0,0
70,307.533,798.5,0,0,0,0,0,0,0,131,13.16,13.27,0,0
71,308.3,800.833,0,0,0,0,0,0,0,96,2.8,2.17,0,0
72,311.433,801,0,0,0,0,0,0,0,79,7.69,10.76,0,0
73,310.683,802,0,0,0,0,0,0,0,20,1.35,1.76,0,0
74,311.283,802.5,0,0,0,0,0,0,0,53,2.48,2.79,0,0
75,312.133,804,0,0,0,0,0,0,0,90,6.11,9.58,0,0
76,309.517,804.5,0,0,0,0,0,0,0,80,1.68,1.8,0,0
77,309.383,805.167,0,0,0,0,0,0,0,12,2.4,3.64,0,0
78,308.167,808,0,0,0,0,0,0,0,36,2.61,3.45,0,0
79,307.65,814.5,0,0,0,0,0,0,0,26,1.41,2.11,0,0
80,297.567,822.5,0,0,0,0,0,0,0,95,12.18,9.83,0,0
81,299.967,822.667,0,0,0,0,0,0,0,126,5.35,4.89,0,0
82,301.717,830.5,0,0,0,0,0,0,0,23,6.13,9.51,0,0
83,301.133,830.833,0,0,0,0,0,0,0,98,1.96,2.8,0,0
84,302.983,832,0,0,0,0,0,0,0,139,15.51,22.12,0,0
85,299.283,836.167,0,0,0,0,0,0,0,122,3.81,3.33,0,0
86,301.85,837.667,0,0,0,0,0,0,0,70,4.95,8.55,0,0
87,297.05,839.5,0,0,0,0,0,0,0,67,1.99,2.62,0,0
88,298.033,841.833,0,0,0,0,0,0,0,56,2.65,3.45,0,0
89,294.017,841.833,0,0,0,0,0,0,0,141,8.75,7.74,0,0
90,299.217,843.833,0,0,0,0,0,0,0,53,5.24,6.75,0,0
91,297.683,846.167,0,0,0,0,0,0,0,42,2.79,3.23,0,0
92,292.233,850.5,0,0,0,0,0,0,0,112,5,5.64,0,0
93,297.083,857.5,0,0,0,0,0,0,0,38,3.74,5.62,0,0
94,293.8,864.5,0,0,0,0,0,0,0,103,25.76,29.37,0,0
95,286.65,874,0,0,0,0,0,0,0,106,5.39,6.03,0,0
96,290.9,882.5,0,0,0,0,0,0,0,129,7.62,9.05,0,0
97,285.9,899.667,0,0,0,0,0,0,0,85,4.59,4.91,0,0
98,283.25,901.333,0,0,0,0,0,0,0,103,7.11,9.91,0,0
99,302.3,826,0,0,0,0,0,0,0,9,8.59,12,0,0
