TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRP_PROM_CI,RSP_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,STDEV_RESPTIME_MAX_WRK,WEB_ERRORS,THRP_WRK_CI,RSP_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,MAXINLINELEVEL,QRKS_TP_CORETHREADS, QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE
12,209.064,8.4,5997.113582,404.61,0.109608,0.098812120220887,0.12372101432254,355,439,1.73,38.54,199.699,33.6913,6880,872.93,0,0.66,50.5,2.07,980M,2.07,980M,23,6,628,4,48
13,209.788,7.2,5557.430234,386.227,0.0962699,0.087132374388889,0.103883239881482,315,460,0.77,7.71,199.761,44.322,7680,933.69,0,0.81,53.97,2.02,1019M,2.02,1019M,22,9,683,4,44
14,209.962,7.4,5272.989224,386.596,0.100453,0.092881428314815,0.107337213765083,368,408,1.19,15.01,200.375,34.6587,7250,872.12,0,0.43,38.65,2.35,850M,2.35,850M,18,14,750,7,42
15,207.964,7,5680.891078,395.76,0.100221,0.093281016403704,0.108113594243533,368,426,1.44,0,199.969,27.9547,329.25,24.72,0,0.53,5.44,2.47,900M,2.47,900M,16,15,748,2,44
16,210.944,7.6,4588.074935,387.879,0.100829,0.094326961648148,0.106714358367716,356,426,0.87,8.95,199.89,37.946,7680,921.5,0,0.59,44.84,1.7,927M,1.7,927M,16,14,744,2,31
17,210.106,8.4,5769.994144,392.821,0.106602,0.095530526077778,0.126342481662963,373,424,0.92,22.41,199.692,28.6927,488.64,24.46,0,0.69,7.25,2.56,874M,2.56,874M,24,7,743,3,45
18,211.943,7.6,6158.716402,382.013,0.105135,0.094382932111111,0.112554628374074,363,396,3.12,14.61,199.777,38.8927,6910,851.97,0,0.45,44.49,1.78,778M,1.78,778M,9,16,805,3,45
19,208.227,7.4,4696.842384,393.093,0.106917,0.094627338948148,0.127250638418121,375,425,0.59,15.01,199.369,45.692,7110,868.71,0,0.46,45.87,2.25,970M,2.25,970M,28,11,560,4,31
20,207.863,7.2,5129.100555,378.537,0.101508,0.093608067907407,0.1152906432,351,408,1.51,25.57,198.331,30.332,2380,43.54,138.667,1.25,8.73,2.64,1012M,2.64,1012M,19,3,664,2,38
21,208.374,7.6,5641.792773,378.868,0.106627,0.097755422548148,0.125799624610655,362,396,1.08,14.61,197.99,46.0213,8090,917.44,0,1.1,52.52,2.64,791M,2.64,791M,14,4,295,2,38
22,208.778,7.8,6630.712502,385.652,0.102178,0.091710654707408,0.110389182851534,367,397,2.38,13.32,200.1,55.4193,7520,925.02,0,0.35,48.94,3,1020M,3,1020M,19,5,684,2,40
23,99999,99999,99999,99999,99999,99999,99999,99999,0,0,,99999,99999,99999,9999,0,0,,2.69,935M,2.69,935M,20,8,515,5,44
24,209.689,8,6358.111714,387.895,0.114689,0.106280432662963,0.129026339937037,368,400,1.02,16.24,200.045,60.5093,10070,915.43,0,0.59,61.34,2.41,876M,2.41,876M,12,13,668,3,48
